keyword,avg_engagement_rate,count
think,0.9830508474576272,74
would,0.967741935483871,87
something,0.9629629629629629,77
actually,0.942877413619599,121
even,0.9014044061668044,67
like,0.8755175388651786,223
people,0.8412876457896353,145
brand,0.8408137480943524,66
search,0.8255767084917907,85
first,0.8240258827471737,63
real,0.7956005359129563,96
product,0.7905815416114936,64
every,0.7870420820138705,63
human,0.7830186210511567,93
need,0.7595467195756477,82
know,0.753879346077965,93
one,0.7351559668028552,128
ads,0.7300537556364115,131
google,0.7184908329490246,124
work,0.6971830139206308,98
time,0.6805215650491626,103
new,0.6728403342668422,83
data,0.6561454015903291,117
help,0.652516425632943,66
chatgpt,0.6496010009744697,122
want,0.6370712385135455,97
using,0.5922081082087624,122
get,0.5803674596109555,85
make,0.5684262492063851,102
use,0.5665666790260767,141
seo,0.533753754533017,123
tool,0.5015461442426292,91
marketing,0.43853758695146605,510
videos,0.4272244600078815,79
social,0.41369421942715184,108
best,0.39764778036430753,137
create,0.38729101908764785,79
media,0.350868305504584,99
strategy,0.34125385236800926,83
content,0.33911846695522424,404
tools,0.3308785642496821,329
digital,0.3302471195896545,161
business,0.28322899440697247,162
automation,0.28315245143488155,106
video,0.2492023626724302,235
com,0.22436406497998548,79
https,0.1986866326685116,128
top,0.18971281106736673,73
free,0.1662376632125061,146
creation,0.10543527118786722,68
