date,content generation,AI marketing,social media campaigns,fetch_time
2025-08-27,10,75,2,2025-11-27 11:50:35
2025-08-28,10,70,2,2025-11-27 11:50:35
2025-08-29,10,66,1,2025-11-27 11:50:35
2025-08-30,10,53,2,2025-11-27 11:50:35
2025-08-31,9,55,1,2025-11-27 11:50:35
2025-09-01,10,66,1,2025-11-27 11:50:35
2025-09-02,10,76,2,2025-11-27 11:50:35
2025-09-03,11,78,2,2025-11-27 11:50:35
2025-09-04,12,73,2,2025-11-27 11:50:35
2025-09-05,10,76,2,2025-11-27 11:50:35
2025-09-06,11,57,1,2025-11-27 11:50:35
2025-09-07,11,57,2,2025-11-27 11:50:35
2025-09-08,11,76,2,2025-11-27 11:50:35
2025-09-09,10,73,3,2025-11-27 11:50:35
2025-09-10,10,75,2,2025-11-27 11:50:35
2025-09-11,9,58,2,2025-11-27 11:50:35
2025-09-12,10,56,2,2025-11-27 11:50:35
2025-09-13,10,51,1,2025-11-27 11:50:35
2025-09-14,10,50,2,2025-11-27 11:50:35
2025-09-15,10,70,2,2025-11-27 11:50:35
2025-09-16,13,86,3,2025-11-27 11:50:35
2025-09-17,12,79,3,2025-11-27 11:50:35
2025-09-18,12,78,2,2025-11-27 11:50:35
2025-09-19,11,68,3,2025-11-27 11:50:35
2025-09-20,12,54,2,2025-11-27 11:50:35
2025-09-21,11,76,2,2025-11-27 11:50:35
2025-09-22,12,100,3,2025-11-27 11:50:35
2025-09-23,11,91,2,2025-11-27 11:50:35
2025-09-24,10,82,2,2025-11-27 11:50:35
2025-09-25,12,85,2,2025-11-27 11:50:35
2025-09-26,11,81,2,2025-11-27 11:50:35
2025-09-27,10,72,2,2025-11-27 11:50:35
2025-09-28,9,75,2,2025-11-27 11:50:35
2025-09-29,10,89,2,2025-11-27 11:50:35
2025-09-30,11,96,2,2025-11-27 11:50:35
2025-10-01,10,87,2,2025-11-27 11:50:35
2025-10-02,10,85,2,2025-11-27 11:50:35
2025-10-03,9,76,2,2025-11-27 11:50:35
2025-10-04,7,49,1,2025-11-27 11:50:35
2025-10-05,7,47,1,2025-11-27 11:50:35
2025-10-06,8,70,2,2025-11-27 11:50:35
2025-10-07,10,87,3,2025-11-27 11:50:35
2025-10-08,9,74,2,2025-11-27 11:50:35
2025-10-09,9,85,2,2025-11-27 11:50:35
2025-10-10,10,79,2,2025-11-27 11:50:35
2025-10-11,9,62,2,2025-11-27 11:50:35
2025-10-12,8,56,1,2025-11-27 11:50:35
2025-10-13,9,72,2,2025-11-27 11:50:35
2025-10-14,8,70,2,2025-11-27 11:50:35
2025-10-15,9,74,2,2025-11-27 11:50:35
2025-10-16,11,74,2,2025-11-27 11:50:35
2025-10-17,9,70,2,2025-11-27 11:50:35
2025-10-18,9,61,1,2025-11-27 11:50:35
2025-10-19,10,63,2,2025-11-27 11:50:35
2025-10-20,9,78,2,2025-11-27 11:50:35
2025-10-21,9,71,2,2025-11-27 11:50:35
2025-10-22,10,75,3,2025-11-27 11:50:35
2025-10-23,10,75,2,2025-11-27 11:50:35
2025-10-24,9,68,2,2025-11-27 11:50:35
2025-10-25,7,47,1,2025-11-27 11:50:35
2025-10-26,8,57,1,2025-11-27 11:50:35
2025-10-27,9,72,1,2025-11-27 11:50:35
2025-10-28,8,68,2,2025-11-27 11:50:35
2025-10-29,9,63,2,2025-11-27 11:50:35
2025-10-30,8,73,2,2025-11-27 11:50:35
2025-10-31,9,66,2,2025-11-27 11:50:35
2025-11-01,8,52,2,2025-11-27 11:50:35
2025-11-02,9,62,2,2025-11-27 11:50:35
2025-11-03,9,74,3,2025-11-27 11:50:35
2025-11-04,8,74,2,2025-11-27 11:50:35
2025-11-05,8,71,2,2025-11-27 11:50:35
2025-11-06,8,71,2,2025-11-27 11:50:35
2025-11-07,9,69,2,2025-11-27 11:50:35
2025-11-08,8,55,1,2025-11-27 11:50:35
2025-11-09,7,60,1,2025-11-27 11:50:35
2025-11-10,7,70,2,2025-11-27 11:50:35
2025-11-11,10,76,2,2025-11-27 11:50:35
2025-11-12,9,74,2,2025-11-27 11:50:35
2025-11-13,3,15,1,2025-11-27 11:50:35
2025-11-14,3,15,1,2025-11-27 11:50:35
2025-11-15,3,12,1,2025-11-27 11:50:35
2025-11-16,3,12,1,2025-11-27 11:50:35
2025-11-17,4,23,1,2025-11-27 11:50:35
2025-11-18,4,20,1,2025-11-27 11:50:35
2025-11-19,3,19,1,2025-11-27 11:50:35
2025-11-20,3,16,1,2025-11-27 11:50:35
2025-11-21,3,14,1,2025-11-27 11:50:35
2025-11-22,3,12,1,2025-11-27 11:50:35
2025-11-23,3,11,1,2025-11-27 11:50:35
2025-11-24,3,14,1,2025-11-27 11:50:35
2025-11-25,3,15,1,2025-11-27 11:50:35
2025-11-26,4,16,1,2025-11-27 11:50:35
2025-11-27,4,19,1,2025-11-27 11:50:35
